Reporting date,Age range,Cumulative total,New
01/10/2021,Under 18,302,
01/10/2021,18-24,"9,460",
01/10/2021,25-29,"16,116",
01/10/2021,30-34,"20,736",
01/10/2021,35-39,"24,017",
01/10/2021,40-44,"30,009",
01/10/2021,45-49,"40,437",
01/10/2021,50-54,"66,888",
01/10/2021,55-59,"71,412",
01/10/2021,60-64,"58,990",
01/10/2021,65-69,"37,847",
01/10/2021,70-74,"51,496",
01/10/2021,75-79,"81,883",
01/10/2021,80+,"353,229",
02/10/2021,Under 18,353,51
02/10/2021,18-24,"11,182","1,722"
02/10/2021,25-29,"19,040","2,924"
02/10/2021,30-34,"24,519","3,783"
02/10/2021,35-39,"28,335","4,318"
02/10/2021,40-44,"35,326","5,317"
02/10/2021,45-49,"47,455","7,018"
02/10/2021,50-54,"78,264","11,376"
02/10/2021,55-59,"83,501","12,089"
02/10/2021,60-64,"68,904","9,914"
02/10/2021,65-69,"44,854","7,007"
02/10/2021,70-74,"63,800","12,304"
02/10/2021,75-79,"102,630","20,747"
02/10/2021,80+,"407,715","54,486"
03/10/2021,Under 18,412,59
03/10/2021,18-24,"13,021","1,839"
03/10/2021,25-29,"21,674","2,634"
03/10/2021,30-34,"27,959","3,440"
03/10/2021,35-39,"32,329","3,994"
03/10/2021,40-44,"40,301","4,975"
03/10/2021,45-49,"54,193","6,738"
03/10/2021,50-54,"89,553","11,289"
03/10/2021,55-59,"95,683","12,182"
03/10/2021,60-64,"79,109","10,205"
03/10/2021,65-69,"52,670","7,816"
03/10/2021,70-74,"80,020","16,220"
03/10/2021,75-79,"132,871","30,241"
03/10/2021,80+,"489,777","82,062"
04/10/2021,Under 18,443,31
04/10/2021,18-24,"14,153","1,132"
04/10/2021,25-29,"23,188","1,514"
04/10/2021,30-34,"30,095","2,136"
04/10/2021,35-39,"34,691","2,362"
04/10/2021,40-44,"43,157","2,856"
04/10/2021,45-49,"57,917","3,724"
04/10/2021,50-54,"95,435","5,882"
04/10/2021,55-59,"101,938","6,255"
04/10/2021,60-64,"84,248","5,139"
04/10/2021,65-69,"56,433","3,763"
04/10/2021,70-74,"87,088","7,068"
04/10/2021,75-79,"145,238","12,367"
04/10/2021,80+,"523,736","33,959"
05/10/2021,Under 18,488,45
05/10/2021,18-24,"15,892","1,739"
05/10/2021,25-29,"26,286","3,098"
05/10/2021,30-34,"33,692","3,597"
05/10/2021,35-39,"38,540","3,849"
05/10/2021,40-44,"47,876","4,719"
05/10/2021,45-49,"63,892","5,975"
05/10/2021,50-54,"104,129","8,694"
05/10/2021,55-59,"111,071","9,133"
05/10/2021,60-64,"91,795","7,547"
05/10/2021,65-69,"61,529","5,096"
05/10/2021,70-74,"97,590","10,502"
05/10/2021,75-79,"162,026","16,788"
05/10/2021,80+,"565,242","41,506"
06/10/2021,Under 18,526,38
06/10/2021,18-24,"17,879","1,987"
06/10/2021,25-29,"29,525","3,239"
06/10/2021,30-34,"37,719","4,027"
06/10/2021,35-39,"43,189","4,649"
06/10/2021,40-44,"53,291","5,415"
06/10/2021,45-49,"70,725","6,833"
06/10/2021,50-54,"113,896","9,767"
06/10/2021,55-59,"121,671","10,600"
06/10/2021,60-64,"100,661","8,866"
06/10/2021,65-69,"68,023","6,494"
06/10/2021,70-74,"111,325","13,735"
06/10/2021,75-79,"185,396","23,370"
06/10/2021,80+,"620,230","54,988"
07/10/2021,Under 18,574,48
07/10/2021,18-24,"19,370","1,491"
07/10/2021,25-29,"31,605","2,080"
07/10/2021,30-34,"40,664","2,945"
07/10/2021,35-39,"46,620","3,431"
07/10/2021,40-44,"57,173","3,882"
07/10/2021,45-49,"75,775","5,050"
07/10/2021,50-54,"122,025","8,129"
07/10/2021,55-59,"130,788","9,117"
07/10/2021,60-64,"108,790","8,129"
07/10/2021,65-69,"75,006","6,983"
07/10/2021,70-74,"126,759","15,434"
07/10/2021,75-79,"215,760","30,364"
07/10/2021,80+,"683,438","63,208"
08/10/2021,Under 18,634,60
08/10/2021,18-24,"20,880","1,510"
08/10/2021,25-29,"33,865","2,260"
08/10/2021,30-34,"43,635","2,971"
08/10/2021,35-39,"50,039","3,419"
08/10/2021,40-44,"61,313","4,140"
08/10/2021,45-49,"81,124","5,349"
08/10/2021,50-54,"130,962","8,937"
08/10/2021,55-59,"140,842","10,054"
08/10/2021,60-64,"117,973","9,183"
08/10/2021,65-69,"84,336","9,330"
08/10/2021,70-74,"149,059","22,300"
08/10/2021,75-79,"249,171","33,411"
08/10/2021,80+,"746,461","63,023"
09/10/2021,Under 18,688,54
09/10/2021,18-24,"22,455","1,575"
09/10/2021,25-29,"36,287","2,422"
09/10/2021,30-34,"46,758","3,123"
09/10/2021,35-39,"53,858","3,819"
09/10/2021,40-44,"65,784","4,471"
09/10/2021,45-49,"87,259","6,135"
09/10/2021,50-54,"140,602","9,640"
09/10/2021,55-59,"151,475","10,633"
09/10/2021,60-64,"127,629","9,656"
09/10/2021,65-69,"93,349","9,013"
09/10/2021,70-74,"170,800","21,741"
09/10/2021,75-79,"282,815","33,644"
09/10/2021,80+,"803,069","56,608"
10/10/2021,Under 18,787,99
10/10/2021,18-24,"24,428","1,973"
10/10/2021,25-29,"38,758","2,471"
10/10/2021,30-34,"50,074","3,316"
10/10/2021,35-39,"57,900","4,042"
10/10/2021,40-44,"70,672","4,888"
10/10/2021,45-49,"94,132","6,873"
10/10/2021,50-54,"152,183","11,581"
10/10/2021,55-59,"164,229","12,754"
10/10/2021,60-64,"139,735","12,106"
10/10/2021,65-69,"106,135","12,786"
10/10/2021,70-74,"202,991","32,191"
10/10/2021,75-79,"336,405","53,590"
10/10/2021,80+,"894,371","91,302"
11/10/2021,Under 18,832,45
11/10/2021,18-24,"25,362",934
11/10/2021,25-29,"39,996","1,238"
11/10/2021,30-34,"51,628","1,554"
11/10/2021,35-39,"59,811","1,911"
11/10/2021,40-44,"73,168","2,496"
11/10/2021,45-49,"97,310","3,178"
11/10/2021,50-54,"157,581","5,398"
11/10/2021,55-59,"170,102","5,873"
11/10/2021,60-64,"144,986","5,251"
11/10/2021,65-69,"110,977","4,842"
11/10/2021,70-74,"215,092","12,101"
11/10/2021,75-79,"354,548","18,143"
11/10/2021,80+,"923,237","28,866"
12/10/2021,Under 18,864,32
12/10/2021,18-24,"26,620","1,258"
12/10/2021,25-29,"41,956","1,960"
12/10/2021,30-34,"54,056","2,428"
12/10/2021,35-39,"62,584","2,773"
12/10/2021,40-44,"76,308","3,140"
12/10/2021,45-49,"101,550","4,240"
12/10/2021,50-54,"164,228","6,647"
12/10/2021,55-59,"177,501","7,399"
12/10/2021,60-64,"151,800","6,814"
12/10/2021,65-69,"117,525","6,548"
12/10/2021,70-74,"230,896","15,804"
12/10/2021,75-79,"377,611","23,063"
12/10/2021,80+,"962,790","39,553"
13/10/2021,Under 18,915,51
13/10/2021,18-24,"28,266","1,646"
13/10/2021,25-29,"44,226","2,270"
13/10/2021,30-34,"56,961","2,905"
13/10/2021,35-39,"65,949","3,365"
13/10/2021,40-44,"80,358","4,050"
13/10/2021,45-49,"106,834","5,284"
13/10/2021,50-54,"172,189","7,961"
13/10/2021,55-59,"186,750","9,249"
13/10/2021,60-64,"160,545","8,745"
13/10/2021,65-69,"126,649","9,124"
13/10/2021,70-74,"252,546","21,650"
13/10/2021,75-79,"409,602","31,991"
13/10/2021,80+,"1,014,486","51,696"
14/10/2021,Under 18,976,61
14/10/2021,18-24,"30,934","2,668"
14/10/2021,25-29,"48,078","3,852"
14/10/2021,30-34,"61,787","4,826"
14/10/2021,35-39,"71,324","5,375"
14/10/2021,40-44,"86,405","6,047"
14/10/2021,45-49,"114,534","7,700"
14/10/2021,50-54,"182,369","10,180"
14/10/2021,55-59,"198,152","11,402"
14/10/2021,60-64,"171,026","10,481"
14/10/2021,65-69,"137,954","11,305"
14/10/2021,70-74,"278,685","26,139"
14/10/2021,75-79,"445,814","36,212"
14/10/2021,80+,"1,068,807","54,321"
15/10/2021,Under 18,"1,051",75
15/10/2021,18-24,"33,753","2,819"
15/10/2021,25-29,"52,050","3,972"
15/10/2021,30-34,"66,591","4,804"
15/10/2021,35-39,"76,876","5,552"
15/10/2021,40-44,"92,768","6,363"
15/10/2021,45-49,"122,296","7,762"
15/10/2021,50-54,"193,540","11,171"
15/10/2021,55-59,"210,828","12,676"
15/10/2021,60-64,"182,802","11,776"
15/10/2021,65-69,"151,672","13,718"
15/10/2021,70-74,"311,969","33,284"
15/10/2021,75-79,"488,933","43,119"
15/10/2021,80+,"1,125,861","57,054"
16/10/2021,Under 18,"1,117",66
16/10/2021,18-24,"36,432","2,679"
16/10/2021,25-29,"56,047","3,997"
16/10/2021,30-34,"71,408","4,817"
16/10/2021,35-39,"82,312","5,436"
16/10/2021,40-44,"99,043","6,275"
16/10/2021,45-49,"130,241","7,945"
16/10/2021,50-54,"204,731","11,191"
16/10/2021,55-59,"223,182","12,354"
16/10/2021,60-64,"194,047","11,245"
16/10/2021,65-69,"164,696","13,024"
16/10/2021,70-74,"344,531","32,562"
16/10/2021,75-79,"528,276","39,343"
16/10/2021,80+,"1,172,880","47,019"
17/10/2021,Under 18,"1,249",132
17/10/2021,18-24,"39,232","2,800"
17/10/2021,25-29,"59,339","3,292"
17/10/2021,30-34,"75,663","4,255"
17/10/2021,35-39,"87,309","4,997"
17/10/2021,40-44,"105,151","6,108"
17/10/2021,45-49,"138,479","8,238"
17/10/2021,50-54,"218,241","13,510"
17/10/2021,55-59,"238,770","15,588"
17/10/2021,60-64,"209,550","15,503"
17/10/2021,65-69,"186,351","21,655"
17/10/2021,70-74,"397,221","52,690"
17/10/2021,75-79,"595,237","66,961"
17/10/2021,80+,"1,242,758","69,878"
18/10/2021,Under 18,"1,297",48
18/10/2021,18-24,"40,472","1,240"
18/10/2021,25-29,"60,886","1,547"
18/10/2021,30-34,"77,708","2,045"
18/10/2021,35-39,"89,570","2,261"
18/10/2021,40-44,"107,713","2,562"
18/10/2021,45-49,"142,039","3,560"
18/10/2021,50-54,"223,822","5,581"
18/10/2021,55-59,"245,101","6,331"
18/10/2021,60-64,"215,461","5,911"
18/10/2021,65-69,"193,619","7,268"
18/10/2021,70-74,"415,563","18,342"
18/10/2021,75-79,"617,690","22,453"
18/10/2021,80+,"1,262,878","20,120"
19/10/2021,Under 18,"1,359",62
19/10/2021,18-24,"42,797","2,325"
19/10/2021,25-29,"64,226","3,340"
19/10/2021,30-34,"81,477","3,769"
19/10/2021,35-39,"93,648","4,078"
19/10/2021,40-44,"112,405","4,692"
19/10/2021,45-49,"147,909","5,870"
19/10/2021,50-54,"231,932","8,110"
19/10/2021,55-59,"254,338","9,237"
19/10/2021,60-64,"223,868","8,407"
19/10/2021,65-69,"203,529","9,910"
19/10/2021,70-74,"440,437","24,874"
19/10/2021,75-79,"647,592","29,902"
19/10/2021,80+,"1,298,493","35,615"
20/10/2021,Under 18,"1,459",100
20/10/2021,18-24,"45,434","2,637"
20/10/2021,25-29,"67,760","3,534"
20/10/2021,30-34,"85,815","4,338"
20/10/2021,35-39,"98,447","4,799"
20/10/2021,40-44,"117,878","5,473"
20/10/2021,45-49,"154,822","6,913"
20/10/2021,50-54,"241,728","9,796"
20/10/2021,55-59,"265,901","11,563"
20/10/2021,60-64,"235,789","11,921"
20/10/2021,65-69,"218,751","15,222"
20/10/2021,70-74,"477,483","37,046"
20/10/2021,75-79,"688,663","41,071"
20/10/2021,80+,"1,342,971","44,478"
21/10/2021,Under 18,"1,570",111
21/10/2021,18-24,"48,172","2,738"
21/10/2021,25-29,"71,584","3,824"
21/10/2021,30-34,"90,608","4,793"
21/10/2021,35-39,"103,655","5,208"
21/10/2021,40-44,"123,842","5,964"
21/10/2021,45-49,"162,497","7,675"
21/10/2021,50-54,"252,753","11,025"
21/10/2021,55-59,"278,788","12,887"
21/10/2021,60-64,"248,673","12,884"
21/10/2021,65-69,"237,181","18,430"
21/10/2021,70-74,"521,792","44,309"
21/10/2021,75-79,"733,885","45,222"
21/10/2021,80+,"1,391,573","48,602"
22/10/2021,Under 18,"1,693",123
22/10/2021,18-24,"51,211","3,039"
22/10/2021,25-29,"75,536","3,952"
22/10/2021,30-34,"95,536","4,928"
22/10/2021,35-39,"109,039","5,384"
22/10/2021,40-44,"130,020","6,178"
22/10/2021,45-49,"170,636","8,139"
22/10/2021,50-54,"264,724","11,971"
22/10/2021,55-59,"292,652","13,864"
22/10/2021,60-64,"263,181","14,508"
22/10/2021,65-69,"261,197","24,016"
22/10/2021,70-74,"580,108","58,316"
22/10/2021,75-79,"786,910","53,025"
22/10/2021,80+,"1,439,347","47,774"
23/10/2021,Under 18,"1,809",116
23/10/2021,18-24,"54,095","2,884"
23/10/2021,25-29,"79,521","3,985"
23/10/2021,30-34,"100,384","4,848"
23/10/2021,35-39,"114,411","5,372"
23/10/2021,40-44,"136,426","6,406"
23/10/2021,45-49,"178,879","8,243"
23/10/2021,50-54,"276,943","12,219"
23/10/2021,55-59,"306,749","14,097"
23/10/2021,60-64,"277,254","14,073"
23/10/2021,65-69,"286,242","25,045"
23/10/2021,70-74,"638,698","58,590"
23/10/2021,75-79,"836,600","49,690"
23/10/2021,80+,"1,481,776","42,429"
24/10/2021,Under 18,"1,980",171
24/10/2021,18-24,"56,941","2,846"
24/10/2021,25-29,"82,978","3,457"
24/10/2021,30-34,"104,821","4,437"
24/10/2021,35-39,"119,700","5,289"
24/10/2021,40-44,"142,906","6,480"
24/10/2021,45-49,"187,812","8,933"
24/10/2021,50-54,"292,428","15,485"
24/10/2021,55-59,"325,632","18,883"
24/10/2021,60-64,"298,278","21,024"
24/10/2021,65-69,"322,926","36,684"
24/10/2021,70-74,"722,070","83,372"
24/10/2021,75-79,"904,804","68,204"
24/10/2021,80+,"1,531,469","49,693"
25/10/2021,Under 18,"2,066",86
25/10/2021,18-24,"58,357","1,416"
25/10/2021,25-29,"84,690","1,712"
25/10/2021,30-34,"107,037","2,216"
25/10/2021,35-39,"122,189","2,489"
25/10/2021,40-44,"145,933","3,027"
25/10/2021,45-49,"192,042","4,230"
25/10/2021,50-54,"299,388","6,960"
25/10/2021,55-59,"333,918","8,286"
25/10/2021,60-64,"307,263","8,985"
25/10/2021,65-69,"338,887","15,961"
25/10/2021,70-74,"758,135","36,065"
25/10/2021,75-79,"932,460","27,656"
25/10/2021,80+,"1,550,402","18,933"
26/10/2021,Under 18,2204,138
26/10/2021,18-24,61217,"2,860"
26/10/2021,25-29,88606,"3,916"
26/10/2021,30-34,111412,"4,375"
26/10/2021,35-39,126729,"4,540"
26/10/2021,40-44,150978,"5,045"
26/10/2021,45-49,198772,"6,730"
26/10/2021,50-54,309321,"9,933"
26/10/2021,55-59,345448,"11,530"
26/10/2021,60-64,319488,"12,225"
26/10/2021,65-69,358662,"19,775"
26/10/2021,70-74,801109,"42,974"
26/10/2021,75-79,966739,"34,279"
26/10/2021,80+,1580248,"29,846"
27/10/2021,Under 18,2315,111
27/10/2021,18-24,63846,"2,629"
27/10/2021,25-29,92174,"3,568"
27/10/2021,30-34,115412,"4,000"
27/10/2021,35-39,131015,"4,286"
27/10/2021,40-44,155973,"4,995"
27/10/2021,45-49,205451,"6,679"
27/10/2021,50-54,319429,"10,108"
27/10/2021,55-59,357377,"11,929"
27/10/2021,60-64,333340,"13,852"
27/10/2021,65-69,383519,"24,857"
27/10/2021,70-74,854078,"52,969"
27/10/2021,75-79,1009297,"42,558"
27/10/2021,80+,1614964,"34,716"
28/10/2021,Under 18,1686,-629
28/10/2021,18-24,60787,"-3,059"
28/10/2021,25-29,92975,801
28/10/2021,30-34,118321,"2,909"
28/10/2021,35-39,133594,"2,579"
28/10/2021,40-44,159452,"3,479"
